"business_id","phone_number","name","full_address","latitude","longitude","review_count","rating","timezone","website","place_id","place_link","types","price_level","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","city","verified","photos","state","description"
"0x39eb1994416e1eab:0xaa7abf28679161e","+97714107199","Asian College of Management & Technology","M8PQ+M5H Asian College of Management & Technology,  , Kathmandu 44600, Nepal","27.686691999999997","85.33797","35","3.9","Asia/Katmandu","http://asm.edu.np/","ChIJqx5uQZQZ6zkRHhZ5hvKrpwo","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb1994416e1eab:0xaa7abf28679161e","College","","6:30 AM-4 PM","6:30 AM-4 PM","6:30 AM-4 PM","6:30 AM-4 PM","6:30 AM-4 PM","6:30 AM-4 PM","Closed","Kathmandu, Nepal","false","https://lh3.googleusercontent.com/gps-proxy/ALd4DhG0eNztCaE6rMDLsEEVNJALHeFqGxhdFq6ysIxSX9-268wyH-rjjkeEzHo_bZCvux2stK09_BuCHrlhszIYA1X5AGH3-3CexUwpdfNGihRumHDgQ545lzIu0gDPaVat6UdATJIY5IAiSEDWn9st5SELaAEascMiPdZ9vb_AxrGMW8TVhb6P4vD7OCj6nRtDxS24YyY=w203-h114-k-no","Open . Closes 4 PM",""
"0x39eb19944d14d46b:0x6ca2f062cc6d8a20","+97714107101","CG Institute of Management","M8PP+GQH CG Institute of Management,  , Kathmandu 44600, Nepal","27.686321","85.336973","28","3.8","Asia/Katmandu","http://www.cgim.edu.np/","ChIJa9QUTZQZ6zkRIIptzGLwomw","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19944d14d46b:0x6ca2f062cc6d8a20","College","","6 AM-9 PM","6 AM-9 PM","6 AM-9 PM","6 AM-9 PM","6 AM-9 PM","6 AM-9 PM","Closed","Kathmandu, Nepal","false","https://lh5.googleusercontent.com/p/AF1QipM8sDv7SUMPGvsw6tKz1VM5AlzkqJsbclmY6ZKl=w203-h270-k-no","Open . Closes 9 PM",""
"0x39eb19b9406d1737:0xb1368a2c0f3f86f6","+9779851343905","Presidential Graduate School","Presidential Graduate School, Bhaktithapa Rd, Kathmandu 44600, Nepal","27.691957499999997","85.3306748","159","4.4","Asia/Katmandu","https://presidential.edu.np/","ChIJNxdtQLkZ6zkR9oY_DyyKNrE","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19b9406d1737:0xb1368a2c0f3f86f6","College","","9 AM-6 PM","6:30 AM-6 PM","6:30 AM-6 PM","6:30 AM-6 PM","6:30 AM-6 PM","6:30 AM-6 PM","7 AM-3 PM","Kathmandu, Nepal","true","https://lh5.googleusercontent.com/p/AF1QipPFrm6x1na-a2O2OTlsNB3agBFOoth-E7wTLt_R=w203-h135-k-no","Open . Closes 6 PM",""
"0x39eb1900116c6721:0x65b31e62613e8a37","","Kavya college","M8QJ+P6J Kavya college, Kathmandu 44600, Nepal","27.6893364","85.3305034","","","Asia/Katmandu","","ChIJIWdsEQAZ6zkRN4o-YWIes2U","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb1900116c6721:0x65b31e62613e8a37","High school","","","","","","","","","Kathmandu, Nepal","false","","",""
"0x39eb1906623feee5:0x26851dc7b341862a","+97714519306","Imperial Business College","Imperial Business College, 27.692647, 85.334130 Thapagaun, Kathmandu 44600, Nepal","27.6926031","85.3341588","71","4.4","Asia/Katmandu","http://imperialcollege.edu.np/","ChIJ5e4_YgYZ6zkRKoZBs8cdhSY","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb1906623feee5:0x26851dc7b341862a","College, Computer security service, Software training institute","","10 AM-5 PM","6:30 AM-5 PM","6:30 AM-5 PM","6:30 AM-5 PM","6:30 AM-5 PM","6:30 AM-5 PM","6:30 AM-5 PM","Kathmandu, Nepal","true","https://lh5.googleusercontent.com/p/AF1QipMEXqVEIE77pNR82ZVigjbpAVizWyCLXMNTxBNe=w203-h135-k-no","Open . Closes 5 PM",""
"0x39eb199527cace0b:0x820fec7c4b6629ef","+97714783840","Milton International College","Milton International College,   , Kathmandu 44600, Nepal","27.687590399999998","85.33454809999999","7","4.7","Asia/Katmandu","http://www.milton.edu.np/","ChIJC87KJ5UZ6zkR7ylmS3zsD4I","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb199527cace0b:0x820fec7c4b6629ef","College","","6 AM-5 PM","6:30 AM-5 PM","6:30 AM-5 PM","6:30 AM-5 PM","6:30 AM-5 PM","6:30 AM-5 PM","Closed","Kathmandu, Nepal","true","https://lh5.googleusercontent.com/p/AF1QipPo43YLmLTnMFuAXThr5kbAx0Cqh7Dk6wS9uTsy=w203-h135-k-no","Open . Closes 5 PM",""
"0x39eb19c3e0023549:0xb27db69bf2ce16a9","+97714542775","Universal College","P83J+QWF Universal College, Kathmandu 44600, Nepal","27.7044389","85.33230859999999","5","4.4","Asia/Katmandu","http://uc.edu.np/","ChIJSTUC4MMZ6zkRqRbO8pu2fbI","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19c3e0023549:0xb27db69bf2ce16a9","College","","6:30 AM-5 PM","6:30 AM-5 PM","6:30 AM-5 PM","6:30 AM-5 PM","6:30 AM-5 PM","6:30 AM-5 PM","Closed","Kathmandu, Nepal","false","https://lh5.googleusercontent.com/p/AF1QipMSJ4at_UFsancFe_Ib_dcYNzn0a8W_g51YcQ7A=w203-h270-k-no","Open . Closes 5 PM",""
"0x39eb199149175677:0x48b42d890a48f67a","+9779851311179","Uniglobe College","Uniglobe College, . .  , Kathmandu 44600, Nepal","27.68984","85.339821","628","4.6","Asia/Katmandu","https://www.uniglobe.edu.np/","ChIJd1YXSZEZ6zkRevZICokttEg","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb199149175677:0x48b42d890a48f67a","College, Private college, University","","6:30 AM-4:30 PM","6:30 AM-4:30 PM","6:30 AM-4:30 PM","6:30 AM-4:30 PM","6:30 AM-4:30 PM","6:30 AM-4:30 PM","Closed","Kathmandu, Nepal","true","https://lh5.googleusercontent.com/p/AF1QipOuktwdRtMIXrF8B30Nr7iNjyhhiShtf4ZW_x8k=w203-h135-k-no","Open . Closes 4:30 PM",""
"0x39eb19a58c5fccbd:0x801e18cae5d3a40c","+97715970318","Global College A Levels","Global College A Levels, Mid, Kathmandu 44600, Nepal","27.699532899999998","85.33930889999999","8","4.3","Asia/Katmandu","https://alevel.globalcollege.edu.np/","ChIJvcxfjKUZ6zkRDKTT5coYHoA","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19a58c5fccbd:0x801e18cae5d3a40c","College, Educational institution, Education center","","9 AM-5 PM","9 AM-5 PM","9 AM-5 PM","9 AM-5 PM","9 AM-5 PM","9 AM-5 PM","Closed","Kathmandu, Nepal","true","https://lh5.googleusercontent.com/p/AF1QipMMhHUrQc-Pd3tRB1ROnAoLH3yDslaDfl-V5R35=w203-h135-k-no","Open . Closes 5 PM",""
"0x39eb198cc00f5805:0x44a312645d1de846","+97714105268","Everest Florida College","Everest Florida College, Lakhe Chaur Marg 51, Kathmandu 44600, Nepal","27.694283499999997","85.3362607","19","4.4","Asia/Katmandu","http://www.everestflorida.edu.np/","ChIJBVgPwIwZ6zkRRugdXWQSo0Q","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb198cc00f5805:0x44a312645d1de846","College","","6 AM-5 PM","6 AM-5 PM","6 AM-5 PM","6 AM-5 PM","6 AM-5 PM","6 AM-5 PM","Closed","Kathmandu, Nepal","true","https://lh5.googleusercontent.com/p/AF1QipP2Gn1SZfL0HxDuykOIKu9ioVJ_hWfWCG1M_Hhg=w203-h152-k-no","Open . Closes 5 PM",""
